iter	Passed	Remaining
0	6	6461
1	11	5593
2	15	5279
3	20	4988
4	25	5158
5	32	5400
6	38	5468
7	44	5507
8	49	5410
9	54	5443
10	60	5466
11	66	5504
12	72	5476
13	76	5422
14	82	5438
15	88	5449
16	94	5463
17	100	5479
18	107	5570
19	113	5575
20	118	5504
21	124	5513
22	129	5519
23	134	5482
24	139	5426
25	142	5355
26	148	5361
27	152	5298
28	158	5306
29	164	5317
30	170	5326
31	176	5331
32	182	5338
33	188	5344
34	194	5349
35	199	5354
36	205	5348
37	211	5349
38	217	5351
39	223	5355
40	229	5362
41	235	5363
42	239	5328
43	245	5331
44	251	5332
45	257	5335
46	263	5337
47	269	5344
48	275	5356
49	281	5356
50	287	5356
51	292	5331
52	298	5328
53	304	5329
54	310	5334
55	316	5333
56	322	5332
57	328	5333
58	334	5332
59	339	5315
60	345	5315
61	351	5313
62	357	5311
63	363	5310
64	369	5308
65	375	5307
66	380	5304
67	386	5301
68	391	5285
69	397	5282
70	403	5280
71	409	5280
72	415	5278
73	421	5275
74	427	5275
75	433	5273
76	439	5270
77	445	5270
78	451	5268
79	457	5265
80	463	5262
81	469	5259
82	475	5255
83	481	5252
84	487	5248
85	493	5243
86	499	5239
87	505	5235
88	511	5231
89	517	5227
90	522	5224
91	528	5219
92	534	5215
93	540	5210
94	546	5208
95	553	5209
96	559	5204
97	564	5199
98	570	5195
99	577	5193
100	582	5187
101	588	5182
102	594	5177
103	600	5172
104	606	5167
105	612	5163
106	617	5157
107	623	5151
108	629	5149
109	635	5144
110	641	5139
111	647	5134
112	653	5129
113	659	5124
114	665	5124
115	671	5119
116	677	5113
117	683	5107
118	689	5108
119	696	5106
120	702	5106
121	710	5110
122	715	5104
123	721	5099
124	727	5094
125	733	5089
126	739	5084
127	745	5079
128	751	5074
129	757	5070
130	763	5065
131	769	5059
132	775	5053
133	781	5049
134	787	5043
135	793	5038
136	798	5032
137	804	5027
138	809	5014
139	815	5008
140	821	5003
141	827	4998
142	833	4993
143	839	4988
144	845	4983
145	851	4978
146	857	4973
147	862	4967
148	868	4962
149	874	4957
150	880	4951
151	886	4947
152	892	4942
153	898	4937
154	904	4932
155	910	4927
156	916	4921
157	922	4916
158	928	4911
159	934	4906
160	940	4901
161	946	4896
162	952	4890
163	958	4885
164	964	4879
165	968	4863
166	971	4847
167	977	4842
168	983	4836
169	989	4831
170	995	4825
171	999	4809
172	1004	4803
173	1010	4798
174	1016	4793
175	1022	4788
176	1028	4783
177	1034	4777
178	1038	4761
179	1044	4756
180	1049	4750
181	1055	4745
182	1061	4739
183	1067	4734
184	1073	4728
185	1079	4723
186	1086	4725
187	1092	4720
188	1098	4715
189	1104	4710
190	1109	4698
191	1115	4692
192	1121	4687
193	1127	4682
194	1132	4677
195	1138	4671
196	1144	4666
197	1150	4660
198	1156	4655
199	1162	4649
200	1168	4644
201	1174	4639
202	1180	4633
203	1186	4627
204	1191	4622
205	1197	4616
206	1204	4615
207	1210	4610
208	1217	4606
209	1223	4603
210	1230	4599
211	1236	4595
212	1243	4592
213	1249	4589
214	1256	4585
215	1262	4581
216	1265	4567
217	1272	4564
218	1279	4561
219	1285	4556
220	1292	4554
221	1298	4551
222	1305	4547
223	1311	4542
224	1317	4537
225	1323	4531
226	1329	4525
227	1334	4520
228	1340	4513
229	1346	4508
230	1352	4503
231	1358	4496
232	1363	4487
233	1366	4474
234	1372	4467
235	1378	4462
236	1384	4456
237	1390	4450
238	1396	4445
239	1399	4431
240	1405	4425
241	1408	4411
242	1412	4399
243	1417	4391
244	1423	4386
245	1429	4380
246	1435	4375
247	1439	4366
248	1445	4360
249	1451	4355
250	1457	4350
251	1463	4344
252	1469	4338
253	1475	4333
254	1481	4327
255	1486	4321
256	1492	4315
257	1497	4306
258	1503	4300
259	1508	4294
260	1514	4288
261	1520	4283
262	1526	4277
263	1532	4272
264	1538	4267
265	1544	4261
266	1550	4256
267	1556	4251
268	1562	4245
269	1568	4239
270	1574	4234
271	1579	4228
272	1585	4222
273	1591	4217
274	1597	4211
275	1603	4206
276	1607	4194
277	1613	4189
278	1619	4184
279	1625	4179
280	1631	4174
281	1637	4168
282	1642	4161
283	1646	4150
284	1650	4141
285	1656	4136
286	1662	4130
287	1668	4124
288	1673	4116
289	1679	4110
290	1682	4099
291	1687	4090
292	1693	4085
293	1698	4079
294	1704	4074
295	1709	4066
296	1715	4060
297	1721	4055
298	1727	4049
299	1733	4043
300	1738	4038
301	1744	4032
302	1750	4027
303	1756	4021
304	1762	4016
305	1768	4010
306	1774	4004
307	1777	3993
308	1783	3987
309	1788	3981
310	1794	3976
311	1800	3970
312	1806	3964
313	1812	3959
314	1818	3953
315	1823	3948
316	1829	3942
317	1835	3936
318	1841	3931
319	1847	3925
320	1853	3920
321	1859	3914
322	1865	3909
323	1870	3903
324	1876	3898
